,model_name,country_code,item_group_code,outlet_group_code,week_of_forecast,actual_check,absolute_actual_difference,percentage_actual_difference,absolute_forecast_difference,percentage_forecast_difference,cell,mape_diff,1-rmsse_diff,wide_mape_diff,abs_mape_diff,abs_wide_mape_diff,abs_1-rmsse_diff
54,prophet,NO,PTV_FLAT,ALL,2701,0.0,4485.0,2.0,3385.5439114293386,2.0,NO-PTV_FLAT-ALL,-0.007242314427907598,0.004614681981484348,-0.006175475081915901,0.007242314427907598,0.006175475081915901,0.004614681981484348
55,prophet,NO,PTV_FLAT,ALL,2702,0.0,4470.0,2.0,3353.702636717181,2.0,NO-PTV_FLAT-ALL,-0.006094884352194796,0.0046793094456316076,-0.005971144403171801,0.006094884352194796,0.005971144403171801,0.0046793094456316076
56,prophet,NO,PTV_FLAT,ALL,2703,0.0,4425.0,2.0,3314.449599757877,2.0,NO-PTV_FLAT-ALL,-0.005745931088056405,0.004173892034200044,-0.0057797239924323,0.005745931088056405,0.0057797239924323,0.004173892034200044
57,prophet,NO,PTV_FLAT,ALL,2704,0.0,4407.0,2.0,3287.63417876933,2.0,NO-PTV_FLAT-ALL,-0.0069498381273953025,0.004896491832372396,-0.006300752069244301,0.0069498381273953025,0.006300752069244301,0.004896491832372396
58,prophet,NO,PTV_FLAT,ALL,2705,0.0,4441.0,2.0,3278.24879848612,2.0,NO-PTV_FLAT-ALL,-0.007409248512944611,0.003654828143111022,-0.0066225871335841985,0.007409248512944611,0.0066225871335841985,0.003654828143111022
59,prophet,NO,PTV_FLAT,ALL,2706,0.0,4480.0,2.0,3281.94397808179,2.0,NO-PTV_FLAT-ALL,-0.007744552802943699,0.0036657688919159437,-0.006836003040867199,0.007744552802943699,0.006836003040867199,0.0036657688919159437
60,prophet,SE,MEDIATABLETS,ALL,2701,0.0,16797.0,8.0,18717.443947167943,8.0,SE-MEDIATABLETS-ALL,-0.0042269972886880836,-0.023985841649363793,0.006214511167027502,0.0042269972886880836,0.006214511167027502,0.023985841649363793
61,prophet,SE,MEDIATABLETS,ALL,2702,0.0,16675.0,8.0,17176.807683032646,8.0,SE-MEDIATABLETS-ALL,-0.009389070661679905,-0.0076392275373670035,-0.0008608358478589054,0.009389070661679905,0.0008608358478589054,0.0076392275373670035
62,prophet,SE,MEDIATABLETS,ALL,2703,0.0,16833.0,8.0,20780.144693744827,9.0,SE-MEDIATABLETS-ALL,0.011441498800918992,-0.10181559480570429,0.0166071365993458,0.011441498800918992,0.0166071365993458,0.10181559480570429
63,prophet,SE,MEDIATABLETS,ALL,2704,0.0,16801.0,8.0,13630.964533407678,6.0,SE-MEDIATABLETS-ALL,-0.021001880482049096,0.0715515819730736,-0.014808129219748301,0.021001880482049096,0.014808129219748301,0.0715515819730736
64,prophet,SE,MEDIATABLETS,ALL,2705,0.0,16786.0,8.0,13066.672047737055,6.0,SE-MEDIATABLETS-ALL,-0.00423434492608632,-0.0065278085657032026,-0.017075255949100802,0.00423434492608632,0.017075255949100802,0.0065278085657032026
65,prophet,SE,MEDIATABLETS,ALL,2706,0.0,16826.0,8.0,33239.84464182551,14.000000000000002,SE-MEDIATABLETS-ALL,0.02026951133505092,-0.1046040280630392,0.0659319074429704,0.02026951133505092,0.0659319074429704,0.1046040280630392
